Barleywine - American,Big Beer
Barleywine - English,Big Beer
Barleywine - Other,Big Beer
Belgian Dubbel,Trappist
Belgian Quad,Trappist
Belgian Strong Dark Ale,Trappist
Belgian Strong Golden Ale,Trappist
Belgian Tripel,Trappist
Bière de Champagne / Bière Brut,Big Beer
Bock,Dark Lager
Burton Ale,IPA
California Common,Light Lager
Doppelbock ,Dark Lager
Dunkelweizen,Dark Lager
Eisbock,Dark Lager
English Bitter,Pale Ale
English Mild Ale,Pale Ale
Extra Special / Strong Bitter,Pale Ale
Faro,Sour
Festbier,Light Lager
IPA - American,IPA
IPA - Belgian,IPA
IPA - Black / Cascadian Dark Ale,IPA
IPA - English,IPA
IPA - Imperial / Double,DIPA
IPA - Imperial / Double Black,DIPA
IPA - International,IPA
IPA - Red,IPA
IPA - Session / India Session Ale,IPA
IPA - Triple,DIPA
IPA - White,IPA
Kölsch,Light Lager
Lager - Amber,Light Lager
Lager - American Amber / Red,Light Lager
Lager - American Light,Light Lager
Lager - Dark,Dark Lager
Lager - Dortmunder / Export,Light Lager
Lager - Dunkel Munich,Dark Lager
Lager - Euro Dark,Dark Lager
Lager - Euro Strong,Dark Lager
Lager - Helles,Light Lager
Lager - IPL (India Pale Lager),Light Lager
Lager - Japanese Rice,Light Lager
Lager - North American Adjunct,Light Lager
Lager - Pale,Light Lager
Lager - Red,Light Lager
Lager - Vienna,Light Lager
Lager - Winter,Dark Lager
Lambic - Framboise,Sour
Lambic - Fruit,Sour
Lambic - Kriek,Sour
Lambic - Other,Sour
Maibock/Helles Bock,Light Lager
Märzen,Light Lager
Pale Ale - American,Pale Ale
Pale Ale - Australian,Pale Ale
Pale Ale - Belgian,Pale Ale
Pale Ale - English,Pale Ale
Pale Ale - International,Pale Ale
Pale Ale - New Zealand,Pale Ale
Pale Wheat Ale - American,Pale Ale
Patersbier,Trappist
Pilsner - Czech,Light Lager
Pilsner - German,Light Lager
Pilsner - Imperial / Double,Light Lager
Pilsner - Other,Light Lager
Porter - American,Stout/Porter
Porter - Baltic,Stout/Porter
Porter - English,Stout/Porter
Porter - Imperial / Double,Stout/Porter
Porter - Other,Stout/Porter
Rauchbier,Dark Lager
Red Ale - American Amber / Red,Pale Ale
Red Ale - Imperial / Double,IPA
Red Ale - Irish,Pale Ale
Red Ale - Other,Pale Ale
Rye IPA,IPA
Saison / Farmhouse Ale,Saison
Schwarzbier,Dark Lager
Scotch Ale / Wee Heavy,Big Beer
Sour - Ale,Sour
Sour - American Wild Ale,Sour
Sour - Berliner Weisse,Sour
Sour - Farmhouse IPA,IPA
Sour - Flanders Oud Bruin,Sour
Sour - Flanders Red Ale,Sour
Sour - Gose,Sour
Sour - Gueuze,Sour
Stout - American,Stout/Porter
Stout - American Imperial / Double,Stout/Porter
Stout - Foreign / Export,Stout/Porter
Stout - Imperial / Double,Stout/Porter
Stout - Imperial Milk / Sweet,Stout/Porter
Stout - Imperial Oatmeal,Stout/Porter
Stout - Irish Dry,Stout/Porter
Stout - Milk / Sweet,Stout/Porter
Stout - Oatmeal,Stout/Porter
Stout - Other,Stout/Porter
Stout - Oyster,Stout/Porter
Stout - Russian Imperial,Stout/Porter
Strong Ale - American,Big Beer
Strong Ale - English,Big Beer
Weizenbock,Dark Lager
Wheat Wine,Big Beer
