1,17663,Cantillon Fou' Foune,Brasserie Cantillon,
2,4499,Pliny The Elder,Russian River Brewing Company,
3,24328,Cantillon Lou Pepe - Kriek,Brasserie Cantillon,
4,8343,Bourbon County Brand Stout,Goose Island Beer Co.,
5,4680,Trappist Westvleteren 12 (XII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),
6,23105,Cantillon Lou Pepe - Framboise,Brasserie Cantillon,
7,38399,Cantillon Saint Lamvinus,Brasserie Cantillon,
8,4589,Breakfast Stout,Founders Brewing Company,
9,72603,Drie Fonteinen Framboos,Brouwerij 3 Fonteinen,
10,6766,Trappistes Rochefort 10,Brasserie de Rochefort,
11,23112,Cantillon Lou Pepe - Gueuze,Brasserie Cantillon,
12,1127,Trappist Westvleteren 8 (VIII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),
13,6760,Abt 12,Brouwerij St. Bernardus NV,
14,56829,Cantillon Gueuze 100% Lambic,Brasserie Cantillon,
15,6541,Temptation,Russian River Brewing Company,
16,5769,Cantillon Vigneronne,Brasserie Cantillon,
17,2324,Rodenbach Alexander,Brouwerij Rodenbach N.V.,
18,2042653,Bourbon Barrel-Aged Barley Wine,Kuhnhenn Brewing Company,
19,8745,Weihenstephaner Hefeweissbier,Bayerische Staatsbrauerei Weihenstephan,
20,19459,Peche Mortel,Brasserie Dieu du Ciel!,
21,1465,Dreadnaught IPA,3 Floyds Brewing Co.,
22,4009,Drie Fonteinen Oude Geuze,Brouwerij 3 Fonteinen,
23,923,Speedway Stout,AleSmith Brewing Company,
24,2931,Wisconsin Belgian Red,New Glarus Brewing Company,
25,9683,Kuhnhenn Raspberry Eisbock,Kuhnhenn Brewing Company,
26,15132,Raspberry Tart,New Glarus Brewing Company,
27,36432,Cantillon Kriek 100% Lambic,Brasserie Cantillon,
28,42743,Cantillon Iris,Brasserie Cantillon,
29,5279,HefeWeizen,Live Oak Brewing Company,
30,6683,Celebrator,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,
31,11473,Trappistes Rochefort 8,Brasserie de Rochefort,
32,16851,Schneider Weisse Tap 6 Unser Aventinus,Weisses Brauhaus G. Schneider & Sohn GmbH,
33,1256,Pure Hoppiness,Alpine Beer Company,
34,6988,La Fin Du Monde,Unibroue,
35,13142,Cantillon Rose De Gambrinus,Brasserie Cantillon,
36,1171,Masala Mama India Pale Ale,Minneapolis Town Hall Brewery,
37,14597,Drie Fonteinen Oude Kriek,Brouwerij 3 Fonteinen,
38,30855,Old Rasputin,North Coast Brewing Co.,
39,34039,Chimay Grande Reserve (Blue),Bieres de Chimay,
40,487,Westmalle Trappist Tripel,Brouwerij Westmalle,
41,37945,Cuvee Van De Keizer Blauw (Blue),Brouwerij Het Anker,
42,8021,Rodenbach Grand Cru,Brouwerij Rodenbach N.V.,
43,17232,Girardin Gueuze 1882 (Black Label),Brouwerij Girardin,
44,16430,Fourth Dementia (4D),Kuhnhenn Brewing Company,
45,281819,Dark Lord Imperial Stout,3 Floyds Brewing Co.,
46,6511,Tripel Karmeliet,Brouwerij Bosteels,
47,1517,Andechser Doppelbock Dunkel,Klosterbrauerei Andechs,
48,8056,90 Minute IPA,Dogfish Head Craft Brewery,
49,4133,Two Hearted Ale,Bell's Brewery - Eccentric Cafe & General Store,
50,107214,Fantome Saison,Brasserie Fantome,
51,80263,Double Bastard Ale,Arrogant Consortia,
52,17513,Expedition Stout,Bell's Brewery - Eccentric Cafe & General Store,
53,869,Adam,Hair Of The Dog Brewing Company / Brewery And Tasting Room,
54,1804,Oude Gueuze,Hanssens Artisanaal bvba,
55,6868,Duvel Belgian Golden Ale,Brouwerij Duvel Moortgat NV,
56,9346,Porter,Founders Brewing Company,
